cliente_id,edad,ingreso_mensual,antiguedad_bancaria,departamento,banco_principal,app_preferida,tipo_operacion_frecuente,monto_promedio_transaccion,tiene_token_fisico,tiene_token_digital,score_riesgo,fecha_registro
1016,28,16005.81,20,Cusco,BCP,Yape,Transferencia Interbancaria,21.06,0,1,0.0,2024-09-15 04:34:58
1017,22,50000.0,12,Otros,BCP,Yape,Pago de Tarjeta de Crédito,260.96,0,1,0.3,2024-11-25 04:34:58
1018,38,30077.83,0,Lima,BBVA,Yape,Transferencia Mismo Banco,56.66,0,1,0.3,2024-11-12 04:34:58
1019,24,24833.0,7,Arequipa,BanBif,Lukita,Retiro sin Tarjeta,512.48,0,1,0.25,2024-07-12 04:34:58
1020,18,28089.61,0,Trujillo,BCP,Yape,Compras Online,68.29,1,0,0.4,2024-11-02 04:34:58
1021,52,13370.15,0,Lima,Scotiabank,Yape,Retiro sin Tarjeta,94.46,1,0,0.0,2024-05-16 04:34:58
1022,32,49594.16,1,Lima,BCP,Plin,Transferencia Mismo Banco,38.74,0,1,0.0,2024-08-14 04:34:58
1023,35,50000.0,1,Lima,BBVA,Tunki,Pago de Préstamos,42.0,0,1,0.0,2024-11-09 04:34:58
1024,18,26808.03,8,Lima,Interbank,Tunki,Compras Online,133.08,1,0,0.15,2024-07-25 04:34:58
1025,28,48786.15,6,Arequipa,Interbank,Tunki,Transferencia Interbancaria,121.24,0,1,0.0,2023-12-07 04:34:58
1026,36,16571.27,19,Lima,BCP,Banca Móvil Propia,Pago de Tarjeta de Crédito,92.21,0,1,0.1,2024-10-09 04:34:58
1027,21,14786.11,6,Lima,BBVA,Plin,Retiro sin Tarjeta,1156.34,1,0,0.25,2024-04-14 04:34:58
1028,39,22481.82,2,Lima,BBVA,Banca Móvil Propia,Compras Online,271.41,0,1,0.0,2024-10-20 04:34:58
1029,27,27377.33,6,Lima,BCP,Yape,Compras Online,149.94,0,1,0.15,2024-06-04 04:34:58
1030,31,18088.05,30,Otros,BCP,Yape,Compras Online,9.42,1,1,0.25,2024-08-10 04:34:58
1031,27,28821.71,6,Lima,Interbank,Banca Móvil Propia,Recarga de Celular,338.92,0,1,0.25,2024-09-02 04:34:58
1032,57,25672.99,7,Lima,BBVA,Tunki,Recarga de Celular,2964.72,0,1,0.35,2024-09-29 04:34:58
1033,34,13371.04,13,Lima,BCP,Banca Móvil Propia,Pago de Tarjeta de Crédito,122.98,1,0,0.1,2024-02-13 04:34:58
1034,22,28549.55,0,Cusco,BBVA,Banca Móvil Propia,Transferencia Interbancaria,65.99,1,1,0.1,2024-09-19 04:34:58
1035,44,33920.14,6,Lima,BanBif,QR,Retiro sin Tarjeta,174.74,0,1,0.0,2024-03-09 04:34:58
1036,20,23998.21,9,Arequipa,BCP,Plin,Pago de Préstamos,35.47,1,1,0.4,2024-02-26 04:34:58
1037,37,39195.77,15,Lima,Interbank,Tunki,Compras Online,235.58,1,0,0.0,2024-08-03 04:34:58
1038,18,11983.65,1,Lima,BCP,Banca Móvil Propia,Transferencia Interbancaria,665.29,1,1,0.2,2024-11-05 04:34:58
1039,19,27832.93,3,Cusco,BCP,Yape,Recarga de Celular,75.87,1,0,0.1,2024-04-01 04:34:58
1040,37,12269.35,5,Cusco,BCP,Yape,Retiro sin Tarjeta,78.36,1,1,0.0,2024-02-03 04:34:58
1041,43,12619.01,1,Lima,BBVA,Banca Móvil Propia,Retiro sin Tarjeta,137.04,0,1,0.15,2024-03-13 04:34:58
1042,37,16067.19,4,Cusco,Scotiabank,Yape,Pago de Tarjeta de Crédito,89.91,0,1,0.35,2024-09-27 04:34:58
1043,33,13752.42,1,Lima,BCP,Plin,Pago de Tarjeta de Crédito,32.71,1,0,0.2,2024-02-18 04:34:58
1044,31,16747.46,2,Lima,Interbank,Banca Móvil Propia,Pago de Tarjeta de Crédito,100.96,0,1,0.35,2024-02-09 04:34:58
1045,18,19789.86,2,Lima,BBVA,Web Banking,Compras Online,82.52,0,1,0.25,2024-11-29 04:34:58
1046,26,33475.77,3,Lima,BCP,QR,Compras Online,582.05,0,0,0.3,2023-12-17 04:34:58
1047,29,18758.84,2,Arequipa,BBVA,Plin,Pago de Tarjeta de Crédito,471.24,0,0,0.15,2024-10-12 04:34:58
1048,47,9968.52,3,Trujillo,Scotiabank,Banca Móvil Propia,Transferencia Interbancaria,600.23,0,0,0.35,2024-05-27 04:34:58
1049,39,38950.0,1,Lima,Scotiabank,Yape,Compras Online,330.87,0,0,0.25,2024-05-17 04:34:58
1050,18,14493.49,0,Piura,Scotiabank,Plin,Compras Online,182.32,0,1,0.2,2024-09-22 04:34:58
1051,38,21389.17,0,Lima,BCP,Banca Móvil Propia,Pago de Préstamos,61.9,0,1,0.0,2024-07-13 04:34:58
1052,30,27536.52,1,Lima,Scotiabank,Yape,Retiro sin Tarjeta,558.98,1,1,0.0,2023-12-30 04:34:58
1053,26,24338.27,4,Lima,BCP,Yape,Transferencia Interbancaria,210.14,0,0,0.45,2024-08-17 04:34:58
1054,42,38066.49,7,Lima,Interbank,Web Banking,Pago de Préstamos,42.6,0,1,0.15,2024-11-26 04:34:58
1055,47,27987.17,0,Arequipa,BanBif,QR,Pago de Servicios,59.51,0,1,0.15,2024-08-22 04:34:58
1056,46,14319.04,0,Arequipa,BCP,Banca Móvil Propia,Pago de Préstamos,41.94,1,1,0.15,2023-12-20 04:34:58
1057,24,50000.0,6,Trujillo,BBVA,QR,Pago de Servicios,19.07,1,1,0.0,2024-03-29 04:34:58
1058,31,24274.14,1,Lima,Interbank,Lukita,Pago de Préstamos,218.88,0,0,0.0,2024-05-16 04:34:58
1059,38,20462.1,15,Trujillo,Interbank,Yape,Pago de Préstamos,43.04,0,0,0.0,2024-08-25 04:34:58
1060,46,35666.34,6,Arequipa,BCP,Plin,Compras Online,69.69,1,1,0.1,2024-09-22 04:34:58
1061,29,24952.4,1,Lima,Pichincha,Tunki,Recarga de Celular,154.29,0,1,0.45,2024-07-02 04:34:58
1062,32,26892.81,1,Cusco,Interbank,Plin,Recarga de Celular,122.99,0,1,0.0,2024-04-03 04:34:58
1063,21,50000.0,3,Otros,BCP,Lukita,Transferencia Mismo Banco,72.72,0,0,0.0,2024-05-01 04:34:58
1064,20,19195.66,0,Lima,BCP,Plin,Pago de Servicios,677.85,0,0,0.1,2024-07-17 04:34:58
1065,44,18790.74,0,Trujillo,Scotiabank,Yape,Pago de Préstamos,32.24,0,1,0.1,2024-07-08 04:34:58
1066,51,23348.53,0,Cusco,BCP,Yape,Pago de Préstamos,33.67,1,1,0.1,2024-07-14 04:34:58
1067,34,37637.57,7,Lima,BCP,Yape,Pago de Servicios,234.59,0,1,0.15,2024-03-18 04:34:58
1068,47,10370.63,3,Lima,BBVA,QR,Compras Online,79.35,1,1,0.1,2024-08-01 04:34:58
1069,39,8243.84,0,Lima,Interbank,Banca Móvil Propia,Pago de Préstamos,76.31,1,1,0.25,2024-12-05 04:34:58
1070,27,16423.07,5,Cusco,Interbank,Banca Móvil Propia,Pago de Tarjeta de Crédito,50.45,0,1,0.0,2024-10-07 04:34:58
1071,39,9730.67,2,Piura,BBVA,Banca Móvil Propia,Compras Online,208.14,1,1,0.2,2024-02-11 04:34:58
1072,53,17811.23,3,Otros,Scotiabank,Banca Móvil Propia,Compras Online,185.98,0,0,0.3,2024-04-07 04:34:58
1073,34,28317.91,1,Cusco,Pichincha,QR,Compras Online,167.19,0,1,0.0,2024-06-23 04:34:58
1074,53,14109.81,4,Arequipa,BCP,Tunki,Pago de Tarjeta de Crédito,82.85,0,0,0.0,2024-03-21 04:34:58
1075,18,10792.28,19,Lima,Interbank,Web Banking,Compras Online,70.03,0,1,0.45,2023-12-20 04:34:58
1076,44,22803.48,0,Trujillo,BanBif,Web Banking,Transferencia Mismo Banco,126.08,0,1,0.0,2024-10-17 04:34:58
1077,36,33903.44,1,Trujillo,Interbank,Web Banking,Transferencia Interbancaria,390.15,0,1,0.25,2024-01-07 04:34:58
1078,31,9438.13,1,Trujillo,Interbank,Banca Móvil Propia,Pago de Servicios,712.06,0,1,0.35,2024-01-29 04:34:58
1079,36,33193.73,1,Arequipa,BCP,QR,Pago de Tarjeta de Crédito,450.95,0,1,0.2,2024-10-26 04:34:58
1080,18,33145.2,2,Trujillo,BBVA,Plin,Pago de Servicios,246.1,0,0,0.25,2024-09-09 04:34:58
1081,32,35491.29,8,Lima,BBVA,QR,Pago de Préstamos,396.3,0,1,0.1,2024-07-24 04:34:58
1082,39,40507.41,12,Lima,Interbank,Web Banking,Recarga de Celular,45.52,0,1,0.1,2024-06-06 04:34:58
1083,52,50000.0,1,Lima,Pichincha,Web Banking,Compras Online,72.69,0,1,0.0,2024-07-29 04:34:58
1084,28,18434.04,3,Lima,BCP,Lukita,Transferencia Mismo Banco,250.74,0,1,0.25,2024-11-13 04:34:58
1085,25,23266.87,5,Piura,BCP,Plin,Transferencia Mismo Banco,131.87,0,1,0.25,2024-10-25 04:34:58
1086,28,17886.13,3,Lima,BCP,Yape,Recarga de Celular,207.99,0,1,0.2,2024-03-30 04:34:58
1087,45,22048.25,2,Trujillo,Interbank,Plin,Pago de Préstamos,395.23,0,1,0.0,2024-02-23 04:34:58
1088,38,47402.8,1,Cusco,BCP,Banca Móvil Propia,Compras Online,338.33,1,1,0.0,2024-04-29 04:34:58
1089,28,11242.91,3,Lima,Interbank,Plin,Pago de Servicios,49.85,1,1,0.0,2024-09-08 04:34:58
1090,41,14320.9,2,Lima,BCP,Plin,Retiro sin Tarjeta,150.18,0,1,0.0,2023-12-13 04:34:58
1091,36,43852.65,7,Lima,BBVA,Banca Móvil Propia,Transferencia Mismo Banco,59.1,0,1,0.15,2024-11-07 04:34:58
1092,46,36681.15,7,Otros,BCP,Banca Móvil Propia,Compras Online,68.22,0,1,0.2,2024-01-30 04:34:58
1093,26,18369.27,0,Trujillo,Scotiabank,Web Banking,Pago de Servicios,26.82,0,1,0.3,2024-06-18 04:34:58
1094,31,33765.71,0,Trujillo,BBVA,Banca Móvil Propia,Transferencia Interbancaria,169.63,0,0,0.0,2024-04-19 04:34:58
1095,30,26123.95,11,Trujillo,BanBif,QR,Pago de Préstamos,24.91,0,0,0.1,2024-08-08 04:34:58
1096,18,46636.43,3,Piura,BBVA,Banca Móvil Propia,Transferencia Mismo Banco,220.11,0,1,0.0,2023-12-14 04:34:58
1097,38,22862.53,9,Lima,BCP,Lukita,Recarga de Celular,577.35,0,1,0.0,2023-12-30 04:34:58
1098,38,36783.92,0,Trujillo,BCP,Yape,Pago de Préstamos,252.23,0,1,0.5,2024-05-11 04:34:58
1099,35,50000.0,3,Lima,Pichincha,Plin,Transferencia Mismo Banco,156.32,1,1,0.0,2024-10-21 04:34:58
1100,32,29704.37,3,Cusco,Interbank,Web Banking,Recarga de Celular,688.45,0,1,0.3,2024-01-24 04:34:58
1101,18,22576.48,9,Lima,BCP,Banca Móvil Propia,Transferencia Interbancaria,205.91,1,1,0.45,2024-07-11 04:34:58
1102,29,31609.83,0,Lima,Interbank,Banca Móvil Propia,Pago de Servicios,62.63,1,0,0.0,2024-06-19 04:34:58
1103,30,18349.54,1,Lima,BBVA,Tunki,Compras Online,168.19,0,1,0.0,2024-10-08 04:34:58
1104,25,50000.0,2,Trujillo,BCP,Yape,Recarga de Celular,1053.31,0,1,0.15,2024-08-11 04:34:58
1105,33,24101.65,10,Trujillo,BCP,Tunki,Recarga de Celular,49.77,1,1,0.0,2024-07-03 04:34:58
1106,39,19216.67,13,Trujillo,Scotiabank,Yape,Pago de Tarjeta de Crédito,37.33,0,0,0.35,2024-04-24 04:34:58
1107,57,14503.65,24,Lima,BCP,Plin,Transferencia Interbancaria,274.49,0,1,0.0,2024-06-13 04:34:58
1108,37,38124.41,15,Cusco,BCP,Plin,Retiro sin Tarjeta,118.62,0,1,0.15,2024-01-04 04:34:58
1109,38,33982.25,0,Lima,BCP,Plin,Transferencia Mismo Banco,87.18,0,1,0.0,2024-09-20 04:34:58
1110,34,17176.94,0,Trujillo,BCP,Banca Móvil Propia,Pago de Préstamos,42.13,0,1,0.15,2024-01-09 04:34:58
1111,18,29384.59,0,Cusco,BBVA,Web Banking,Pago de Tarjeta de Crédito,21.11,1,1,0.15,2024-04-15 04:34:58
1112,34,10360.15,2,Lima,BCP,Banca Móvil Propia,Retiro sin Tarjeta,34.59,0,1,0.1,2024-05-17 04:34:58
1113,35,24160.76,8,Lima,BCP,QR,Transferencia Mismo Banco,746.15,0,0,0.35,2024-03-01 04:34:58
1114,64,27622.29,11,Lima,BanBif,Banca Móvil Propia,Transferencia Interbancaria,147.1,0,1,0.0,2024-01-21 04:34:58
1115,32,50000.0,1,Arequipa,BCP,Banca Móvil Propia,Transferencia Interbancaria,20.86,1,1,0.0,2024-11-18 04:34:58
1116,38,14981.79,4,Lima,BBVA,Yape,Retiro sin Tarjeta,484.97,0,1,0.2,2024-07-09 04:34:58
1117,34,11623.96,12,Lima,BBVA,Yape,Transferencia Interbancaria,510.22,0,1,0.2,2023-12-09 04:34:58
1118,20,14076.84,3,Lima,BBVA,Banca Móvil Propia,Pago de Servicios,507.37,1,0,0.0,2024-04-02 04:34:58
1119,48,11290.49,0,Lima,Scotiabank,Plin,Retiro sin Tarjeta,97.27,0,1,0.1,2024-02-10 04:34:58
1120,44,42973.06,3,Piura,BCP,Banca Móvil Propia,Recarga de Celular,113.43,0,1,0.0,2024-08-12 04:34:58
1121,44,47777.96,2,Lima,Scotiabank,Banca Móvil Propia,Recarga de Celular,170.31,0,1,0.15,2024-06-10 04:34:58
1122,24,25851.1,4,Trujillo,Scotiabank,QR,Transferencia Interbancaria,602.48,0,0,0.35,2024-09-17 04:34:58
1123,51,40564.46,2,Arequipa,Interbank,Web Banking,Transferencia Interbancaria,85.21,0,1,0.15,2024-04-17 04:34:58
1124,18,23552.31,0,Lima,BCP,Yape,Transferencia Mismo Banco,69.8,0,0,0.15,2024-02-25 04:34:58
1125,42,21003.5,25,Lima,BCP,Yape,Pago de Préstamos,297.58,0,1,0.0,2024-02-27 04:34:58
1126,61,18647.76,3,Otros,BBVA,Banca Móvil Propia,Retiro sin Tarjeta,497.33,0,1,0.15,2024-06-06 04:34:58
1127,23,18860.11,3,Piura,Scotiabank,Plin,Pago de Tarjeta de Crédito,140.78,0,0,0.25,2024-02-17 04:34:58
1128,28,10158.84,15,Trujillo,BBVA,Plin,Retiro sin Tarjeta,290.16,0,1,0.3,2024-06-03 04:34:58
1129,36,25137.79,0,Lima,BCP,Lukita,Pago de Servicios,166.08,0,1,0.2,2024-08-27 04:34:58
1130,28,21586.71,1,Piura,BCP,Web Banking,Pago de Préstamos,115.44,0,1,0.0,2024-09-28 04:34:58
1131,18,31974.06,8,Arequipa,Interbank,QR,Recarga de Celular,64.76,0,1,0.15,2024-01-29 04:34:58
1132,35,23080.92,1,Lima,Interbank,Banca Móvil Propia,Pago de Préstamos,46.81,1,1,0.15,2024-06-05 04:34:58
1133,22,20305.52,8,Lima,BCP,Plin,Recarga de Celular,80.26,0,1,0.0,2024-06-19 04:34:58
1134,40,14248.45,1,Lima,BCP,Plin,Pago de Servicios,55.92,1,1,0.0,2024-04-30 04:34:58
1135,23,22835.61,0,Piura,BBVA,Tunki,Transferencia Mismo Banco,197.05,0,0,0.0,2024-02-26 04:34:58
1136,53,31860.38,3,Lima,BBVA,Banca Móvil Propia,Pago de Servicios,501.47,0,1,0.0,2024-04-09 04:34:58
1137,25,12435.75,1,Lima,Interbank,Plin,Transferencia Mismo Banco,182.0,1,1,0.0,2024-05-06 04:34:58
1138,31,23011.21,7,Piura,Scotiabank,Web Banking,Compras Online,59.1,1,0,0.0,2024-04-15 04:34:58
1139,44,24748.53,5,Lima,Interbank,QR,Transferencia Mismo Banco,349.11,0,1,0.0,2024-05-27 04:34:58
1140,20,15382.22,12,Lima,BCP,Banca Móvil Propia,Compras Online,199.71,1,1,0.2,2024-04-01 04:34:58
1141,37,16416.99,7,Arequipa,Interbank,Web Banking,Pago de Préstamos,243.43,0,1,0.2,2024-06-17 04:34:58
1142,50,24718.46,0,Trujillo,Pichincha,Plin,Pago de Tarjeta de Crédito,88.29,0,1,0.1,2024-06-13 04:34:58
1143,18,12497.57,8,Otros,BanBif,Yape,Transferencia Mismo Banco,460.99,0,0,0.15,2024-03-12 04:34:58
1144,37,26237.94,5,Lima,Scotiabank,QR,Compras Online,458.64,0,1,0.15,2024-08-22 04:34:58
1145,38,14077.36,5,Lima,BCP,Web Banking,Pago de Préstamos,123.46,1,1,0.0,2024-10-11 04:34:58
1146,44,37474.91,8,Trujillo,Scotiabank,Banca Móvil Propia,Transferencia Interbancaria,304.43,1,1,0.0,2024-11-17 04:34:58
1147,20,50000.0,4,Lima,Scotiabank,Yape,Transferencia Interbancaria,446.52,0,1,0.2,2024-08-08 04:34:58
1148,19,14323.0,3,Lima,Interbank,QR,Transferencia Mismo Banco,93.19,0,1,0.0,2024-08-23 04:34:58
1149,41,28770.45,5,Trujillo,BCP,Yape,Compras Online,136.83,0,1,0.1,2024-03-31 04:34:58
1150,38,15315.63,1,Lima,Pichincha,Banca Móvil Propia,Compras Online,160.74,0,1,0.35,2024-08-21 04:34:58
1151,38,37066.8,1,Arequipa,BBVA,Plin,Compras Online,49.51,0,1,0.0,2024-08-27 04:34:58
1152,39,11700.31,4,Lima,BCP,QR,Pago de Servicios,230.83,0,0,0.2,2024-04-28 04:34:58
1153,26,28009.34,1,Arequipa,BCP,Plin,Pago de Servicios,412.62,1,1,0.15,2024-06-01 04:34:58
1154,37,14235.66,0,Trujillo,Interbank,QR,Pago de Servicios,128.52,1,0,0.15,2024-11-30 04:34:58
1155,38,19860.89,0,Lima,BBVA,Plin,Transferencia Interbancaria,208.48,0,0,0.35,2024-09-10 04:34:58
1156,26,13154.08,4,Lima,BCP,Yape,Pago de Tarjeta de Crédito,600.99,1,1,0.25,2024-10-05 04:34:58
1157,57,33228.9,2,Trujillo,Interbank,Web Banking,Pago de Préstamos,98.97,1,1,0.15,2024-11-29 04:34:58
1158,40,14494.29,6,Lima,Scotiabank,Plin,Transferencia Mismo Banco,212.78,0,0,0.0,2024-03-25 04:34:58
1159,20,29027.01,2,Lima,Interbank,Banca Móvil Propia,Recarga de Celular,83.95,0,1,0.15,2023-12-22 04:34:58
1160,42,18544.92,3,Trujillo,BCP,Yape,Pago de Servicios,81.69,1,0,0.1,2024-04-13 04:34:58
1161,23,20801.16,2,Piura,Interbank,QR,Pago de Préstamos,208.91,1,1,0.2,2024-04-15 04:34:58
1162,44,23715.35,5,Lima,BCP,Yape,Pago de Préstamos,188.93,0,0,0.25,2024-12-02 04:34:58
1163,48,15049.31,2,Trujillo,BCP,Plin,Pago de Tarjeta de Crédito,258.55,0,1,0.1,2024-02-24 04:34:58
1164,25,24469.52,16,Trujillo,BBVA,Banca Móvil Propia,Transferencia Interbancaria,160.16,1,1,0.25,2024-07-21 04:34:58
1165,46,47342.67,13,Arequipa,Scotiabank,Tunki,Retiro sin Tarjeta,236.31,0,0,0.3,2024-01-10 04:34:58
1166,39,14927.38,9,Lima,BBVA,Yape,Compras Online,784.87,1,1,0.2,2024-05-05 04:34:58
1167,44,39573.11,12,Lima,BCP,Banca Móvil Propia,Transferencia Mismo Banco,428.34,0,1,0.15,2024-08-25 04:34:58
1168,57,46585.7,2,Lima,BBVA,Banca Móvil Propia,Pago de Servicios,208.18,0,1,0.0,2024-01-23 04:34:58
1169,32,14646.0,3,Arequipa,BBVA,Yape,Transferencia Interbancaria,245.9,0,1,0.2,2024-04-27 04:34:58
1170,25,10641.03,6,Arequipa,BanBif,Banca Móvil Propia,Compras Online,110.07,1,0,0.0,2024-03-12 04:34:58
1171,24,25616.21,5,Trujillo,BanBif,Web Banking,Retiro sin Tarjeta,126.57,0,0,0.1,2024-02-29 04:34:58
1172,25,16752.39,11,Lima,BCP,Yape,Transferencia Mismo Banco,242.85,0,0,0.15,2024-07-11 04:34:58
1173,34,50000.0,6,Piura,BCP,Tunki,Recarga de Celular,162.01,0,0,0.35,2024-04-21 04:34:58
1174,39,22413.16,30,Piura,BCP,Banca Móvil Propia,Transferencia Mismo Banco,328.0,0,0,0.15,2024-06-02 04:34:58
1175,38,14748.55,2,Trujillo,Scotiabank,Yape,Compras Online,526.93,0,1,0.2,2024-02-17 04:34:58
1176,44,12412.02,8,Lima,BCP,Yape,Transferencia Mismo Banco,134.05,0,1,0.15,2024-02-11 04:34:58
1177,35,37985.22,5,Trujillo,BCP,Plin,Pago de Préstamos,19.9,1,1,0.3,2024-02-29 04:34:58
1178,52,16554.41,5,Piura,BBVA,Lukita,Pago de Servicios,1134.77,0,1,0.15,2024-06-10 04:34:58
1179,31,22514.49,1,Lima,BCP,Yape,Pago de Tarjeta de Crédito,77.29,0,1,0.0,2024-06-14 04:34:58
1180,67,35521.78,7,Lima,BCP,Lukita,Transferencia Mismo Banco,180.4,1,0,0.15,2024-05-05 04:34:58
1181,42,17289.78,11,Arequipa,BBVA,Banca Móvil Propia,Retiro sin Tarjeta,307.2,0,1,0.0,2024-11-11 04:34:58
1182,24,21526.4,1,Lima,BCP,Yape,Retiro sin Tarjeta,607.27,0,1,0.25,2024-09-11 04:34:58
1183,22,21844.75,4,Piura,BBVA,Banca Móvil Propia,Compras Online,903.28,1,1,0.15,2024-01-15 04:34:58
1184,40,30997.51,2,Lima,Pichincha,Web Banking,Transferencia Mismo Banco,103.14,1,0,0.1,2024-03-12 04:34:58
1185,32,29595.34,22,Otros,BCP,Yape,Transferencia Mismo Banco,487.69,0,1,0.3,2023-12-11 04:34:58
1186,43,19730.94,3,Piura,BBVA,Tunki,Pago de Tarjeta de Crédito,180.91,0,1,0.45,2024-05-18 04:34:58
1187,40,22738.72,1,Lima,BanBif,Banca Móvil Propia,Retiro sin Tarjeta,2305.85,0,1,0.0,2024-12-05 04:34:58
1188,34,18290.01,2,Piura,Scotiabank,Yape,Retiro sin Tarjeta,446.06,0,1,0.15,2023-12-07 04:34:58
1189,24,10521.69,5,Trujillo,BBVA,Yape,Pago de Servicios,124.28,0,1,0.0,2024-07-17 04:34:58
1190,18,25054.29,0,Trujillo,Interbank,Yape,Recarga de Celular,67.15,1,1,0.35,2024-08-13 04:34:58
1191,29,50000.0,4,Piura,BCP,Yape,Retiro sin Tarjeta,10.73,0,0,0.0,2024-05-05 04:34:58
1192,45,14159.49,13,Lima,Interbank,Yape,Recarga de Celular,291.39,0,0,0.1,2024-04-20 04:34:58
1193,37,14965.24,9,Arequipa,Pichincha,QR,Recarga de Celular,406.85,0,1,0.0,2024-12-02 04:34:58
1194,20,14251.77,0,Lima,BBVA,Web Banking,Retiro sin Tarjeta,312.77,0,1,0.0,2024-09-06 04:34:58
1195,37,31643.75,25,Lima,BBVA,Yape,Pago de Tarjeta de Crédito,14.11,0,1,0.0,2024-01-12 04:34:58
1196,39,27563.36,5,Piura,BCP,Plin,Pago de Tarjeta de Crédito,42.18,0,1,0.3,2024-08-21 04:34:58
1197,24,20347.86,0,Lima,Interbank,Yape,Pago de Servicios,240.04,0,1,0.0,2024-09-03 04:34:58
1198,36,13918.73,0,Lima,BBVA,Yape,Transferencia Mismo Banco,884.94,0,1,0.3,2023-12-11 04:34:58
1199,35,23067.69,0,Arequipa,Interbank,Plin,Pago de Tarjeta de Crédito,140.39,0,1,0.1,2024-02-14 04:34:58
1200,21,10073.76,9,Otros,BCP,Yape,Transferencia Interbancaria,442.09,0,1,0.15,2024-07-29 04:34:58
1201,39,23664.07,0,Lima,BBVA,QR,Compras Online,52.75,0,1,0.15,2023-12-19 04:34:58
1202,41,34056.02,1,Cusco,BBVA,Plin,Transferencia Mismo Banco,182.57,0,0,0.0,2024-04-21 04:34:58
1203,47,11782.85,7,Lima,BCP,Plin,Transferencia Interbancaria,112.77,1,0,0.0,2024-01-29 04:34:58
1204,47,10236.76,4,Lima,BCP,Yape,Compras Online,486.67,0,0,0.2,2024-02-23 04:34:58
1205,18,48519.4,7,Trujillo,BCP,Yape,Retiro sin Tarjeta,86.5,0,1,0.0,2024-03-25 04:34:58
1206,23,16221.94,6,Lima,Interbank,QR,Transferencia Mismo Banco,793.94,0,1,0.15,2024-11-23 04:34:58
1207,41,38869.84,0,Lima,Interbank,Yape,Transferencia Mismo Banco,109.1,0,0,0.15,2024-07-05 04:34:58
1208,41,20394.1,11,Piura,Scotiabank,Web Banking,Transferencia Interbancaria,50.91,0,1,0.15,2024-09-22 04:34:58
1209,41,20313.13,1,Piura,BCP,Yape,Pago de Servicios,52.65,0,0,0.1,2024-05-11 04:34:58
1210,80,27424.89,4,Lima,BanBif,Banca Móvil Propia,Compras Online,79.64,0,1,0.0,2024-08-17 04:34:58
1211,41,14157.51,5,Trujillo,Interbank,Web Banking,Compras Online,214.98,1,1,0.0,2024-08-28 04:34:58
1212,48,23535.11,0,Piura,BBVA,Yape,Pago de Tarjeta de Crédito,80.64,0,1,0.15,2024-04-23 04:34:58
1213,46,18201.43,18,Lima,BCP,Plin,Retiro sin Tarjeta,65.33,1,1,0.1,2024-05-08 04:34:58
1214,42,11381.6,3,Lima,BCP,Banca Móvil Propia,Retiro sin Tarjeta,361.34,0,1,0.5,2024-06-01 04:34:58
1215,31,26075.23,0,Lima,Pichincha,Yape,Pago de Tarjeta de Crédito,5.98,1,1,0.0,2024-03-23 04:34:58
1216,44,19309.38,13,Lima,BCP,Banca Móvil Propia,Retiro sin Tarjeta,96.56,0,1,0.0,2024-01-09 04:34:58
1217,25,20363.26,4,Lima,BCP,Yape,Transferencia Mismo Banco,39.09,0,0,0.0,2023-12-29 04:34:58
